,score,0.95 moe,p-value (forward),p-value (reverse),p-value,fdr (forward),fdr (reverse),fdr
0,0.8232743334898097,0.020762467325186287,0.001,1.0,0.001,0.002,1.0,0.002
1,0.7761354329366362,,0.001,1.0,0.001,0.002,1.0,0.002
2,0.7745357513916572,,0.001,1.0,0.001,0.002,1.0,0.002
3,0.7696607093221498,,0.001,1.0,0.001,0.002,1.0,0.002
4,0.7621493955047131,,0.001,1.0,0.001,0.002,1.0,0.002
5,-0.7160470705308074,,1.0,0.001,0.001,1.0,0.002,0.002
6,-0.7221959124252774,,1.0,0.001,0.001,1.0,0.002,0.002
7,-0.7298154820372134,,1.0,0.001,0.001,1.0,0.002,0.002
8,-0.7369363889169885,,1.0,0.001,0.001,1.0,0.002,0.002
9,-0.7401580958159091,0.02717778553864563,1.0,0.001,0.001,1.0,0.002,0.002
